ID,Language_ID,Parameter_ID,Value,Source_Language_ID,Inventory_ID,OnlyInLoanwords,Result,NewDistinction,PhonemeComments
157,copt1239,ECC959553F23387998DAF88D69D7736C,ɡ,mode1248,51,yes,to be checked,to be checked,Coptic did not have voiced obstruents.
158,copt1239,E77FDA2EAABA78B3E55A968B2257CF26,z,mode1248,51,yes,to be checked,to be checked,"Coptic did not have voice distinctions in obstruents. note: [z] is attested as a rare allophone of /s/ in voiced environments, but it is not contrastive in native words."
159,crow1244,03413638BD1DFC7AEF53192FEF71F017,l,stan1293,52,no,phonologization of allophone,lateral,appears as an allophone of /n/ in conservative speech and related Hidatsa.
160,cupe1243,E6253384902D489FDB1FE487B7ED4AB2,d,stan1288,54,yes,new phoneme,voicing,Cupeño does not have a voicing distinction in non-loan words
161,cupe1243,8A61A9B6039DB852CE150BEC6198AFE5,ɛ,stan1288,54,no,phonologization of allophone,no,appears in a few native words and as an allophone of /e/
162,cupe1243,86E80A7DA80F7F58CA76F85BACA48F86,f,stan1288,54,yes,new phoneme,no,
163,cupe1243,ECC959553F23387998DAF88D69D7736C,ɡ,stan1288,54,yes,new phoneme,voicing,Cupeño does not have a voicing distinction in non-loan words
164,cupe1243,5AC0158A367D59E8C16A876321E578AB,o,"stan1288,tong1329",54,yes,new phoneme,no,
165,cupe1243,795215076D89B5B17C0D147BE5C341E3,ɾ,tong1329,54,yes,new phoneme,tap,probably from Tongva via Luiseño
166,daur1238,86E80A7DA80F7F58CA76F85BACA48F86,f,,55,no,to be checked,unknown,Mostly in loanwords
167,daur1238,2D6FB64B3CDC3549EF11DB98A66A9EAD,p,,55,no,to be checked,unknown,Mostly in loanwords
168,dame1241,1832D7834F81DD97E33C58D9F70EC5C6,ɣ,,56,yes,other distributional change,unknown,
169,dame1241,F62AFB705D2A2D30BB41CF3FBE917891,x,,56,yes,other distributional change,unknown,
170,diml1238,35C386C6B0CA2D6E38CD56396F233034,sˤ,,57,yes,to be checked,to be checked,
171,diml1238,8A2147CEAD6091015AA0965F0B6C2AEB,tˤ,,57,yes,to be checked,to be checked,
172,diml1238,55F94F929CDB58CDE9BE8333787E3A31,ʕ,,57,yes,to be checked,to be checked,
173,dera1245,7FF174469DAC4E61520F4E1610B2F088,s,tokp1240,58,no,other distributional change,no,in native phonology /s/ appears only morpheme-initially
174,dusn1237,C7364BE7F76504D8DE329FFF30C42424,d̠ʒ,indo1316,59,yes,new phoneme,affricate,
175,dusn1237,E7FBD92350B3CA8B7B5D77E36A607068,h,indo1316,59,yes,new phoneme,glottal,
176,dusn1237,03413638BD1DFC7AEF53192FEF71F017,l,indo1316,59,no,other distributional change,no,appears also in proper names
177,dusn1237,1AD6D96C35E6ADA62F1EAF5B167F75F7,ɲ,indo1316,59,yes,new phoneme,no,
178,dusn1237,1348048F53951A5E29ABA6D5360925BA,t̠ʃ,indo1316,59,yes,new phoneme,affricate,
179,east2440,C7364BE7F76504D8DE329FFF30C42424,d̠ʒ,"tern1247,nort2828,stan1293",60,yes,new phoneme,affricate,
180,east2440,86E80A7DA80F7F58CA76F85BACA48F86,f,"tern1247,nort2828,dutc1256,stan1318",60,yes,new phoneme,labiodental,
181,east2440,1348048F53951A5E29ABA6D5360925BA,t̠ʃ,"tern1247,nort2828,port1283,dutc1256",60,no,phonologization of allophone,affricate,appears as an allophone of /s/ in native phonology
182,east2440,0844E3AEAF1C8E3837465942B92FE4C5,ʔ,stan1318,60,yes,new phoneme,no,marginal
183,nucl1235,86E80A7DA80F7F58CA76F85BACA48F86,f,,61,yes,to be checked,to be checked,(loan)
184,edol1239,E03DA215BAB0A158BA5D1CB5C4D5D6FD,n,stan1293,62,no,phonologization of allophone,no,allophone of native /ɺ/ word initially. appears word medially in loanwords. Bilingualism is uncommon
185,east2328,86E80A7DA80F7F58CA76F85BACA48F86,f,,63,yes,to be checked,to be checked,(loan)
186,east2328,A6BC925BE30427A4ECE5EB6136535393,pʲ,,63,yes,to be checked,to be checked,(loan)
187,east2328,AE22B011DAF9516E3388AF4E418B00F4,sʲ,,63,yes,to be checked,to be checked,(loan)
188,east2328,FC7AAC2F2DD0F75DE6A9EC1F88A4ADB6,tʲ,,63,yes,to be checked,to be checked,(loan)
189,east2328,106C7FE93D986D037407524D08F3599A,ts,,63,yes,to be checked,to be checked,(loan)
190,east2328,F62AFB705D2A2D30BB41CF3FBE917891,x,,63,yes,to be checked,to be checked,(loan)
191,east2542,03413638BD1DFC7AEF53192FEF71F017,l,,64,yes,to be checked,to be checked,(loan)
192,panj1256,86E80A7DA80F7F58CA76F85BACA48F86,f,,65,unknown,to be checked,to be checked,"(loan,free)"
193,panj1256,92B41E9C14B6FD2564CABDE05D20ED97,z̻,,65,yes,to be checked,to be checked,(loan)
194,egyp1253,C7364BE7F76504D8DE329FFF30C42424,d̠ʒ,,66,yes,to be checked,to be checked,(loan)
195,egyp1253,2D6FB64B3CDC3549EF11DB98A66A9EAD,p,,66,unknown,to be checked,to be checked,"(loan,free)"
196,egyp1253,033ACAA664F151FC56BC9595526BCFA4,v,,66,unknown,to be checked,to be checked,"(loan,free)"
197,stan1293,F62AFB705D2A2D30BB41CF3FBE917891,x,,67,yes,to be checked,to be checked,(loan)
198,esto1258,86E80A7DA80F7F58CA76F85BACA48F86,f,,68,yes,other distributional change,unknown,
199,esto1258,9E7CDEEE9F0DE43C10181AE483F62CBD,ʃ,,68,yes,other distributional change,unknown,
200,even1260,2D6FB64B3CDC3549EF11DB98A66A9EAD,p,,69,unknown,to be checked,to be checked,"(limited,loan)"
201,even1260,E77FDA2EAABA78B3E55A968B2257CF26,z,,69,yes,to be checked,to be checked,(loan)
202,ewee1241,2D6FB64B3CDC3549EF11DB98A66A9EAD,p,,70,yes,to be checked,to be checked,Gḛ dialect has also native /p/
203,finn1318,694212B746622E482E0E58D50036100E,b,swed1254,71,yes,other distributional change,to be checked,"b is attested in Finnish dialects as an allophone, but in standard Finnish it has a restricted use, mostly in loanwords and slang words (such as abstrakti, jobbari, banaani)"
204,finn1318,86E80A7DA80F7F58CA76F85BACA48F86,f,swed1254,71,no,to be checked,to be checked,"f is attested in Finnish western dialects, but in standard Finnish it has a restricted use, mostly in loanwords and slang (such as farkut, bluffata, safka, katastrofi)"
205,finn1318,ECC959553F23387998DAF88D69D7736C,ɡ,swed1254,71,yes,to be checked,to be checked,"g is attested in Finnish dialects as an allophone, but in standard Finnish it has a restricted use, mostly in loanwords and slang (such as jogurtti, orgaaninen, gaala)"
206,finn1318,9E7CDEEE9F0DE43C10181AE483F62CBD,ʃ,"swed1254,stan1293",71,yes,new phoneme,to be checked,"only in some very few loanwords and slang word (such as bolševikki, charmi, shamaani, shampoo). Usually not considered as part of the Finnish consonant inventory"
207,fore1274,5D1D7FB69E1A3C0C60001FBC0C19ED87,r,russ1263,72,yes,other distributional change,unknown,"Historically Proto Nenets r -> Forest Nenets ɬ, nowadays r in loanwords"
208,gant1244,795215076D89B5B17C0D147BE5C341E3,ɾ,tokp1240,74,yes,new phoneme,rhotic,[ɾ] is an allophone of /t/ in native phonology.
209,garo1247,03413638BD1DFC7AEF53192FEF71F017,l,,75,unknown,to be checked,to be checked,"(loan,allo,free)"
210,gura1251,0844E3AEAF1C8E3837465942B92FE4C5,ʔ,,76,yes,to be checked,to be checked,
211,gura1251,55F94F929CDB58CDE9BE8333787E3A31,ʕ,,76,yes,to be checked,to be checked,
212,gayo1244,0844E3AEAF1C8E3837465942B92FE4C5,ʔ,"indo1316,stan1318",77,yes,new phoneme,no,
213,nucl1302,E7FBD92350B3CA8B7B5D77E36A607068,h,,78,unknown,to be checked,to be checked,"(limited,loan)"
